"Number and Percentage of Individuals Aged 10 Years and Over Using the Internet by Sex and Region, Philippines: 2024"
"Region","2024 Both Sexes a/ Number","2024 Both Sexes a/ Percentage","2024 Male b/ Number","2024 Male b/ Percentage","2024 Female b/ Number","2024 Female b/ Percentage"
"PHILIPPINES",61467109,67.3,29650540,48.2,31816569,51.8
"National Capital Region",9465688,79.4,4579793,48.4,4885896,51.6
"Cordillera Administrative Region",1070014,71.5,526369,49.2,543645,50.8
"Region I - Ilocos Region",3250486,74.1,1587591,48.8,1662895,51.2
"Region II - Cagayan Valley",2280119,74.6,1119979,49.1,1160140,50.9
"Region III - Central Luzon",7920256,74.0,3843871,48.5,4076385,51.5
"Region IV-A - CALABARZON",9966173,71.3,4674814,46.9,5291358,53.1
"MIMAROPA Region",1607108,63.3,779134,48.5,827974,51.5
"Region V - Bicol Region",3089195,63.2,1471356,47.6,1617838,52.4
"Region VI - Western Visayas",4047294,61.4,1934536,47.8,2112757,52.2
"Region VII - Central Visayas",4514738,67.7,2180132,48.3,2334606,51.7
"Region VIII - Eastern Visayas",2565585,66.4,1258118,49.0,1307467,51.0
"Region IX - Zamboanga Peninsula",1533070,50.1,724538,47.3,808532,52.7
"Region X - Northern Mindanao",2575198,61.7,1291230,50.1,1283969,49.9
"Region XI - Davao Region",2379134,53.5,1107789,46.6,1271346,53.4
"Region XII - SOCCSKSARGEN",2242217,61.7,1099122,49.0,1143095,51.0
"Region XIII - Caraga",1442671,65.0,734632,50.9,708040,49.1
"Bangsamoro Autonomous Region in Muslim Mindanao",1518163,40.5,737537,48.6,780626,51.4
