YEAR,MONTH,KWH CONSUMPTION,AMOUNT DUE,COST PER KWH 
2022,January,,,
2022,February,137,"1,316.76",9.611
2022,March,58,374.15,6.451
2022,April,,,
2022,May,156,"1,570.51",10.067
2022,June,69,480.22,6.960
2022,July,69,448.85,6.505
2022,August,66,421.06,6.380
2022,September,82,572.61,6.983
2022,October,,,
2022,November,,,
2022,December,61,416.38,6.826
2023,January,,,
2023,February,116,837.77,7.222
2023,March,61,459.40,7.531
2023,April,75,680.31,9.071
2023,May,86,794.04,9.233
2023,June,88,843.87,9.589
2023,July,71,643.73,9.067
2023,August,71,627.60,8.839
2023,September,75,690.79,9.211
2023,October,67,524.45,7.828
2023,November,65,518.97,7.984
2023,December,68,505.50,7.434
2024,January,71,820.81,11.561
2024,February,66,798.70,12.102
2024,March,61,741.42,12.154
2024,April,80,886.23,11.078
2024,May,84,967.98,11.524
2024,June,84,804.01,9.572
2024,July,80,937.95,11.724
2024,August,56,665.59,11.886
2024,September,52,627.74,12.072
2024,October,52,609.18,11.715
2024,November,58,701.72,12.099
2024,December,51,625.24,12.260
2025,January,53,639.99,12.075
2025,February,58,711.50,12.267
2025,March,62,775.20,12.503
2025,April,73,961.01,13.165
2025,May,79,979.05,12.393
2025,June,76,934.65,12.298
2025,July,67,859.39,12.827
2025,August,46,626.21,13.613
2025,September,61,811.37,13.301
2025,October,52,707.27,13.601
2025,November,59,808.24,13.699
2025,December,43,580.29,13.495
2026,January,41,550.00,13.415
2026,February,43,582.82,13.554
2026,March,53,746.74,14.089
2026,April,66,959.04,14.531
2026,May,70,1014.61,14.494
2026,June,67,982.09,14.658
2026,July,70,1048.90,14.984
2026,August,,,
2026,September,,,
2026,October,,,
2026,November,,,
2026,December,,,
